Data da coleta,Nome da ETA / UTA,Resultado,week,millis,date,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDCI_min,NDCI_max,NDCI_mean,NDCI_median,NDCI_stdDev
2019-12-02,MOINHOS DE VENTO,0,2019-12-02/2019-12-08,1575466844674,2019-12-04 13:40:44,-0.3950617283950617,-0.0566914498141264,-0.1696074908330716,-0.1629745627608244,0.0539686272960789,-0.0650529500756429,0.023068783068783,-0.0124066478570641,-0.0109318401284847,0.0152804072872211
2019-12-02,MOINHOS DE VENTO,0,2019-12-02/2019-12-08,1575639045160,2019-12-06 13:30:45,-0.6910828025477708,-0.4699074074074073,-0.6250724750208573,-0.6373176259331951,0.0474156637345541,-0.0990291262135922,-0.01364522417154,-0.0695562451434024,-0.0711506816425464,0.0142499909242372
2020-01-06,MOINHOS DE VENTO,1404,2020-01-06/2020-01-12,1578490841381,2020-01-08 13:40:41,-0.0668647845468053,0.0620798734677737,-0.0044656224721328,-0.0035608946866291,0.0215652076891231,-0.0126254451278731,0.0476384364820846,0.0190280334386554,0.0191814663850359,0.0081734168653888
2020-01-06,MOINHOS DE VENTO,1404,2020-01-06/2020-01-12,1578663045489,2020-01-10 13:30:45,-0.8224543080939948,-0.5135135135135135,-0.705249502346872,-0.7081325846414762,0.0468634034470827,-0.0176390773405698,0.1135802469135802,0.0242339111263966,0.0240391838058517,0.014922478045494
2020-01-21,MOINHOS DE VENTO,150,2020-01-20/2020-01-26,1579527044792,2020-01-20 13:30:44,0.0067602704108164,0.1953277092796885,0.0857292077294101,0.0826524381288427,0.0371465739572485,0.0278199291856348,0.1177777777777777,0.0631375994165662,0.0612205607787301,0.0162778806121169
2020-01-21,MOINHOS DE VENTO,150,2020-01-20/2020-01-26,1579959044062,2020-01-25 13:30:44,-0.5031055900621119,-0.0413145539906102,-0.3900727130771062,-0.4287691854053781,0.0997048005385945,-0.0541310541310541,0.0277227722772276,-0.0270260894436983,-0.0300858206924711,0.0153133319842312
2020-05-26,MOINHOS DE VENTO,1897,2020-05-25/2020-05-31,1590586847746,2020-05-27 13:40:47,-0.769980506822612,-0.5563258232235703,-0.7104900168547515,-0.7137440519831515,0.0397736804897902,-0.1760104302477183,-0.0804077010192524,-0.1323957126072734,-0.131782945736434,0.0143268396926276
2020-05-26,MOINHOS DE VENTO,1897,2020-05-25/2020-05-31,1590759057267,2020-05-29 13:30:57,-0.7283018867924529,-0.5678391959798995,-0.6694675050844177,-0.6712772933621469,0.0262633854045784,-0.1836734693877551,-0.08,-0.1284609830128973,-0.1281668208463102,0.0167442406125447
2020-09-24,MOINHOS DE VENTO,0,2020-09-21/2020-09-27,1600695053306,2020-09-21 13:30:53,-0.5768115942028985,-0.3222591362126246,-0.5111189711947509,-0.5423869689629871,0.0662518853798136,-0.0824949698189135,0.0290456431535269,-0.0488747341180085,-0.0603577189260486,0.0250335721082136
2020-09-24,MOINHOS DE VENTO,0,2020-09-21/2020-09-27,1600954849155,2020-09-24 13:40:49,-0.6148908857509627,-0.513126491646778,-0.5829014246953647,-0.5870907451483919,0.0200040275300433,-0.0899470899470899,0.0100840336134453,-0.0313452072150073,-0.0320517536298042,0.0103458802963844
2020-12-23,MOINHOS DE VENTO,25659,2020-12-21/2020-12-27,1608730843428,2020-12-23 13:40:43,-0.3114754098360656,-0.0123552123552122,-0.0911278114811082,-0.0772490110748032,0.0534127124296203,-0.0546507419471588,0.0995607613469985,0.0195866968350304,0.0191393588169185,0.0196705595960141
2020-12-30,MOINHOS DE VENTO,1766,2020-12-28/2021-01-03,1609335049251,2020-12-30 13:30:49,-0.5365853658536586,-0.332409972299169,-0.4678001716500081,-0.4710870378067266,0.0412514511488853,0.0113753877973112,0.1348940914158305,0.0445117041463003,0.0422922887630658,0.0169633059885887
2020-12-30,MOINHOS DE VENTO,1766,2020-12-28/2021-01-03,1609594845171,2021-01-02 13:40:45,-0.1171910624715002,-0.064279155188246,-0.0952312108383311,-0.0955835011499922,0.0089770085246597,-0.0044480388192478,0.03850830968788,0.0154548772599225,0.0149970382610375,0.0068199716383203
2021-06-10,MOINHOS DE VENTO,1529,2021-06-07/2021-06-13,1623591051622,2021-06-13 13:30:51,-0.660069848661234,-0.1356869417269247,-0.6216423312486619,-0.6271586395605855,0.0549576503057427,-0.1887550200803213,0.0995875073659398,-0.0678438971176875,-0.0694038646106486,0.0220236069944537
2022-02-10,MOINHOS DE VENTO,10557,2022-02-07/2022-02-13,1644586845830,2022-02-11 13:40:45,-0.1085937499999999,-0.0589135424636571,-0.0899942233015799,-0.0904344341991679,0.008479742275648,-0.0305454545454546,0.0100143061516452,-0.0054462565501531,-0.0054676474419882,0.0042867594194206
2022-02-16,MOINHOS DE VENTO,1793,2022-02-14/2022-02-20,1645018840203,2022-02-16 13:40:40,-0.1187648456057006,-0.0528406833531982,-0.0984270187341908,-0.1003376070457311,0.0101284872297487,-0.0397350993377483,0.0037622272385252,-0.0131358370219848,-0.012828297152074,0.005859022234702
2022-02-16,MOINHOS DE VENTO,1793,2022-02-14/2022-02-20,1645191052434,2022-02-18 13:30:52,-0.1215027977617905,-0.0700039108330074,-0.1093515180792646,-0.1112037071561902,0.0092459781190062,-0.0366568914956011,-0.0032810791104629,-0.0179013557049832,-0.0182425330114846,0.003987137424222
2020-02-26,MOINHOS DE VENTO,360,2020-02-24/2020-03-01,1582551047984,2020-02-24 13:30:47,-0.7230769230769231,-0.4652777777777778,-0.6558747936477658,-0.6651679669719806,0.048053265158219,-0.1432706222865412,-0.0466582597730138,-0.1022553563568363,-0.1018522062588819,0.0148741223935374
2020-02-26,MOINHOS DE VENTO,360,2020-02-24/2020-03-01,1582810843778,2020-02-27 13:40:43,-0.5241935483870969,-0.284072249589491,-0.4594184477796142,-0.4658869395711501,0.0439367722535317,-0.191860465116279,0.0132978723404255,-0.0572101980996778,-0.0580577218250184,0.0217997845734213
2020-02-26,MOINHOS DE VENTO,360,2020-02-24/2020-03-01,1582983046499,2020-02-29 13:30:46,-0.6658476658476659,-0.4272727272727273,-0.592130259807771,-0.6,0.0433257998106146,-0.1299826689774697,0.0352941176470588,-0.0422095702631587,-0.0433333333333333,0.0286520782496727
2020-04-29,MOINHOS DE VENTO,386,2020-04-27/2020-05-03,1588426849870,2020-05-02 13:40:49,-0.6226993865030674,-0.1263259402121504,-0.5561494130001178,-0.5633747214725052,0.056698906562297,-0.1605691056910569,-0.0417070805043647,-0.096324330885313,-0.0974380768170257,0.0158962320453852
2021-05-13,MOINHOS DE VENTO,6997,2021-05-10/2021-05-16,1620826845267,2021-05-12 13:40:45,-0.6820925553319919,-0.402027027027027,-0.6172903536956628,-0.6221169293853477,0.0358584349064465,-0.1282798833819242,-0.028169014084507,-0.0675102317539816,-0.0671663191544321,0.0176164601706442
